category,proverb,number,book_page
СЕЛЬСКАЯ ГАСПАДАРКА,Рэдка сеяць — легка веяць,1031,129
ПРОМЫСЛЫ I РАМЕСТВЫ,"Хоць позна, да завозна",1450,162
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Як пашла карова па пракосе, то малако ўнялося, а як пойдзе на ржышча, то i малако назад зышча",200,200
ХАРЧАВАННЕ,Галоднаму i пушынка (пушнінка) — малінка,629,232
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Людзі баяцца не цівуна, а яго бізуна
а) Баяцца не цівуна, а яго бізуна",303,310
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Добры госць, ды ў сераду трапіўся
а) Добрыя госці, ды ў сераду завіталі",1386,396
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Багач ідзе, аж дуброва гудзе",1696,420
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",Ад напасці i чорт плачыць,2079,453
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Калі ест грошы, то правуйся
а) Калі маеш аруд жыта — будуйся, a калі маеш мех грошаў — правуйся",2315,475
ПРАЦА,"Кончыў дзела, гуляй смела",1672,179
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","I не рыба рак, але рыбай ваніць",200,65
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"У кастрычніку i хата з дравамі, i мужык з лапцямі",488,88
СЕЛЬСКАЯ ГАСПАДАРКА,Густа пасееш — многа намалоціш,1032,129
ПРОМЫСЛЫ I РАМЕСТВЫ,"Калі засыпаў, то няхай меле",1451,162
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Тая карова малочна была,  што павалілася",201,200
ХАРЧАВАННЕ,"He спіцца, калі хлябок сніцца",630,232
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Ці ад пана, ці цівуна, a ўсё баліць ад бізуна",304,311
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,I любаму гасцю пятніца бывае,1387,396
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Багаты рубам ходзіць,1697,420
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Калі б не прыпадкі, чалавек быў бы гладкі",2080,453
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Усякі грош харош,2316,475
ПРАЦА,"Спех — людзям смех
а) Паспех людзям (чорту) на смех",1673,179
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Усялякая птушка сваім носам корміцца,201,65
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Не цяпер па грыбы хадзіць, да ўвосені, як будуць радзіць",489,88
СЕЛЬСКАЯ ГАСПАДАРКА,"Каб не было пуста, трэба сеяць густа",1033,129
ПРОМЫСЛЫ I РАМЕСТВЫ,"Нясі здароў, калі змалоў",1452,162
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Каторая карова умерла, тая к малаку дойна была",202,200
ХАРЧАВАННЕ,Галоднаму асцюлькі (асцюкі) не колюцца,631,232
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Мужык з калком на вуліцы, a шляхціц у карчме",305,311
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"У вялікім посце не хадзі ў госці, бо нечым частаваць",1388,396
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,3 раскошы шкура пукаецца,1698,420
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Не смейся, бацьку, з майго  прыпадку:  сягоння мне, а  ўзаўтра табе",2081,454
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Грошы ўсё зробяць,2317,475
ПРАЦА,б) Скоры паспех людзям на смех,13329,179
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Па пер'і птушку ўзнаюць,202,65
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Калі грыбна, дак i хлебна",490,88
СЕЛЬСКАЯ ГАСПАДАРКА,"Не ўсё то ўсходзіць, што сееш",1034,129
ПРОМЫСЛЫ I РАМЕСТВЫ,"Гэта табе толька пачынка, а будзе й цэлая аўчынка",1453,162
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Якая хазяйка, такая i карова",203,200
ХАРЧАВАННЕ,Галодныя зубы асцюкоў не чуюць,632,232
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Hi пан, ні хам, а так сабе, чорт ведае што",306,311
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Няхай ён будзе пастол, а ты яго цясні за стол",1389,396
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Хто маець, той не дбаець",1699,420
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",У нашае Насці заўсёды няшчасце,2082,454
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Грош маленькі, да вялікае дзела робіць",2318,475
ПРАЦА,"3 вялікага паспеху наробіш смеху
б) Ад спеху не нарабіць бы смеху",1674,179
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Не ўсе птушкі лятаюць
а) Усе птушкі крыллі маюць, да не усе лятаюць",203,65
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Калі грыбна, то не хлебна",491,88
СЕЛЬСКАЯ ГАСПАДАРКА,"Прыдзе пара, вырасце трава
а) Будзе пара, парасце трава",1035,129
ПРОМЫСЛЫ I РАМЕСТВЫ,"Шкура вырабу не варта
а) Аўчынка вырабу не варта",1454,162
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Посціць i скацінка, калі ў гаспадара  хібіць",204,200
ХАРЧАВАННЕ,I ў хлебе ёсць мякіна,633,232
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Палавіна шляхціц, палавіна мужык",307,311
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Мілага госця частуюць  летам мёдам, a зімою  малаком
а) Любага госця вясною  частуюць  мядком, а восенню  малачком",1390,396
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Той мае, што ў руках трымае",1700,420
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",На грэшнага Макара i шышкі  валяцца,2083,454
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"I капуста нятлуста, калі ў кішэні пуста",2319,475
ПРАЦА,"Спяшыць — людзей насмяшыць
а) Паспяшыць — людзей насмяшыць",1675,179
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Якая пташка, такі i галасок",204,65
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Калі родзяць грыбы, то i жыта зародзіцца",492,88
СЕЛЬСКАЯ ГАСПАДАРКА,"6) Будзець  пара, будзець i трава",9,130
ПРОМЫСЛЫ I РАМЕСТВЫ,Вычынка даражэйшая за аўчынку,1455,162
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Пасціць i скацінка,  калі гаспадара  нямае",205,201
ХАРЧАВАННЕ,"3 мякінай лёгка хадзіць, ды цяжка ногі валачыць",634,232
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Есць  па-мужыцку,  чхае  па-панску",308,311
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"б) Увосень любага госця частуюць малаком, а нялюбага  мядком
в) Мілага госця зімою ўгашчаюць малаком, a ў Пятроўку  мёдам",1390,397
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Не баюся прыпадку, маю грошай у дастатку",1701,420
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Уеліся злыдні, як вошы ў цела",2084,454
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Абы грошы, то й роднага бацька купіш",2320,475
ПРАЦА,"Не скора, да спора",1676,179
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Якая птушка, такая i песня",205,65
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,Час не чакае,493,88
СЕЛЬСКАЯ ГАСПАДАРКА,"У пору сена косяць
а) Парою сена косяць",1036,130
ПРОМЫСЛЫ I РАМЕСТВЫ,"Музыка ды дудар — невялікі гаспадар
а) Музыка-дудар — невялікі гаспадар",1456,162
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,За бабінымі цяляткамі не можна ў сад іці,206,201
ХАРЧАВАННЕ,"Ух, ела баба пух, а дзед мякіну; еш, баба, еш, я цябе не  пакіну",635,232
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","У свінушніку жыве, ды хоча кашляць па-панску
а) У свінуху жыць, да па-панску кашляць",309,311
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Дарагія госцікі, ды нечым прымаць",1391,397
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Сабака кудлаты — яму цёпла, мужык багаты — яму доб­ ра
а) Сабака касмат — яму ж цёпла; мужык багат — яму ж  добра",1702,420
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Упрасіліся злыдні на тры дні, ды й год не выжывеш",2085,454
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,За грошы хіба пцічага малака не дастанеш,2321,476
ПРАЦА,"Што скора, то i не спора",1677,179
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Сустрэў грака—вясну сустракай,206,65
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,На ўсё трэба час,494,88
СЕЛЬСКАЯ ГАСПАДАРКА,На вострую касу — багаты сенакос,1037,130
ПРОМЫСЛЫ I РАМЕСТВЫ,3 музыкі да з млінара не будзе гаспадара,1457,162
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Калі значыцца, скора целіцца",207,201
ХАРЧАВАННЕ,"Душка не птушка, мякінаю не адбудзеш",636,232
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Шляхціц, a вяроўкай рэжа  хлеб",310,311
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Рад гасцям, ды хлеба ні на гам",1392,397
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"У каго кварта на стале, у таго праўда на сяле",1703,420
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","а) Упрасіліся злыдні на тры дні, a i ў тры гады не выжы­ веш",357,454
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,За грошы i бога купіш,2322,476
ПРАЦА,"Барджэй, ды не спяшайся дужа",1678,179
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Жаўранак прылятае на праталіну, шпак на прагаліну, жораў з цяплом, ластаўка з лістом",207,65
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,Час на час не ўдаецца,495,88
СЕЛЬСКАЯ ГАСПАДАРКА,"I ці ваюе каса, а ў нас раса",1038,130
ПРОМЫСЛЫ I РАМЕСТВЫ,3 музыкі да з муляра нігды няма гаспадара,1458,162
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Карова целіцца, а ў быка зад чэшацца",208,201
ХАРЧАВАННЕ,"Хоць чорная папа, ды поўная лапа",638,232
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Шляхціц ты Кабылінскі: адна нага ў чобаце, а другая ў  лапці
а) О, не зачапайце, ён шляхціц,  бо адна нага ў боце, а  другая ў лапці",311,311
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Трэба гасцей паклікаць, дык трэба ім i пасыпаць",1393,397
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Чыя чарка паўней, таго i праўда вярней",1704,421
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",Усякае  ўрэмя пераходчыва i злыдні пераметчывы,2086,454
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Грашмі i на тым свеце дагодзіш,2323,476
ПРАЦА,"а) Барджэй, да не хапайся дужа",1678,180
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","J3
a) Жораў — з цяплом, ластаўка — з лістом",5,66
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,Пара пары шукае,496,89
СЕЛЬСКАЯ ГАСПАДАРКА,3 касой пагоды не ждаць,1039,130
ПРОМЫСЛЫ I РАМЕСТВЫ,"Дудар — не гаспадар, стралец — не жылец, рыбак — i той  па вушы абгніець",1459,162
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Первястковага цялёнка не блюдуць  на  завод,209,201
ХАРЧАВАННЕ,"Хлеб дае рогі, а голад ногі",639,232
